Easements,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR,XCoord,YCoord
1,5000,1232,2,2,1,1,50,100,22,28,6633,16345,0,0,1935,0.25,0.6,0,1,944306,171166
1,6456,2584,2,2.5,2,2,15,100,25,42,6614,23500,0,0,1935,0.4,0.6,0,1,944417,171226
1,2350,1399,1,2.5,2,2,25,100,18,28,5760,13980,5760,10430,1935,0.6,0.6,0,1,944309,170831
1,7200,1560,1,1,0,1,50,95.42,20,78,48600,82350,0,0,1931,0.22,0.6,0,1,943856,170546
1,7356,7635,2,2,3,5,75,95.42,45,60,34738,40645,0,0,1920,1.04,0.6,0,1,943883,170634
1,2925,1056,1,2,1,1,22,100,16,36,6128,14791,1610,1610,1905,0.36,0.6,0,1,945002,168924
1,680,852,2,2,1,1,40,100,19,50,1080,10380,0,0,1925,1.25,0.6,0,1,944955,168950
1,7200,1024,1,2,1,1,53,138,16,26,9780,14340,0,0,1905,0.14,0.6,0,1,945090,169006
1,15214,27152,1,3,41,41,180,200,168,130,96300,871650,0,0,1971,1.78,0.6,0,1,944662,167964
1,5995,3100,1,2,1,2,64,113,47,28,53550,312120,53550,312120,2003,0.52,0.6,0,1,944532,167933
1,6400,1260,2,2,1,1,32,118,18,40,7262,16663,1610,1610,1920,0.2,0.6,0,1,944486,167931
1,2500,1476,1,2.5,2,2,25,100,18,30,6241,17614,0,0,1920,0.59,0.6,0,1,944429,168102
1,5840,2050,2,2,1,1,50,116,25,40,8527,21080,0,0,1955,0.35,0.6,0,1,944451,168134
1,10000,1340,1,2,1,1,50,205,16,24,12610,19089,3440,3440,1920,0.13,0.6,0,1,944509,168166
1,1920,1800,1,2,2,2,64,30,29,19,6180,19440,0,2217,2004,0.94,0.6,0,1,944460,168229
1,2788,1875,1,2,2,2,59,22,40,17,6180,18420,0,1994,2005,0.67,0.6,0,1,944566,168263
1,4361,364,1,1,1,1,25,172.58,14,26,8229,12579,0,0,1920,0.08,0.6,0,1,944558,168323
1,3912,1800,1,2,2,2,24,163,15,45,7296,19398,1610,1610,2003,0.46,0.6,0,1,944560,168348
1,6067,70876,5,1,0,1,428,162,183,110,188100,4333878,188100,4333878,1955,11.68,0.6,0,1,944740,168532
1,5094,1793,2,2.5,2,2,44,131,18,24,5807,10830,0,0,1899,0.35,0.6,0,1,944832,168823
1,1650,1376,1,2,2,2,40,142,16,26,495,14246,0,0,1905,0.83,0.6,0,1,944910,168784
1,2580,0,0,0,0,0,86,343,0,0,6960,6960,0,0,0,0,0.6,0,1,944817,168708
1,6400,1336,2,2.5,1,1,30,162,18,26,9026,18800,0,0,1905,0.21,0.6,0,1,944686,168156
1,5286,1312,1,2.5,1,1,32,162,20,28,7920,14700,0,0,1899,0.25,0.6,0,1,944686,168119
1,5800,1190,1,2,1,1,34,176,25,30,8210,16864,1610,1610,1915,0.21,0.6,0,1,944683,168087
1,6750,2520,2,2.5,3,3,50,135,21,40,9802,20458,0,0,1920,0.37,0.6,0,1,943793,170985
1,3375,1640,1,2,2,2,25,135,22,37,6840,16366,6840,13669,1920,0.49,0.6,0,1,943784,170948
1,3375,1680,1,2,1,1,25,135,22,37,6437,16420,0,0,1920,0.5,0.6,0,1,943778,170924
1,6575,3510,2,1.5,2,2,50,131.5,34,49,9004,22394,0,0,1920,0.53,0.6,0,1,943769,170887
1,4355,1280,1,2,1,1,65,67,20,26,7549,14376,1610,1610,1930,0.29,0.6,0,1,943582,170817
1,3800,1800,1,2,2,2,38,100,25,38,6691,17611,1610,1610,1930,0.47,0.6,0,1,943629,170787
1,3100,1152,1,2.5,1,1,31,100,17,27,7380,14814,1610,1610,1925,0.37,0.6,0,1,943663,170781
1,2500,1128,1,2.5,1,1,50,50,20,30,5289,14193,1610,1610,1925,0.45,0.6,0,1,943708,170795
1,1600,1420,1,2,1,1,32,50,18,30,3720,13980,0,0,2002,0.89,0.6,0,1,943787,170786
1,860,1300,1,2,1,1,11,50,11,30,2390,13674,1610,1610,2002,1.51,0.6,0,1,943769,170728
1,3200,2500,1,1,0,1,50,64,50,50,36000,101700,0,0,1990,0.78,0.6,0,1,943729,170563
1,2539,1848,1,2,1,2,27.5,92,22,42,4902,10239,0,0,1931,0.73,0.6,0,1,943697,170528
1,2865,1664,1,2,1,2,21.5,132.67,16,26,6131,12147,0,0,1931,0.58,0.6,0,1,943680,170506
1,23773,12000,1,1,0,1,172.75,137.42,170,60,160650,300600,0,139950,2002,0.5,0,2,0,943233,170266
1,55327,4000,9,1,0,1,341.1,200,50,30,170100,221850,0,0,1955,0.07,0,2,0,943354,170588
1,42450,2600,4,2,0,1,246.33,118.92,20,25,95400,128700,0,0,1931,0.06,0,2,0,943098,170572
